source_root,folder_name,folder_path,file_count,sample_file,consultation_id,space_id,space_display_name,site_name,mapping_status,note,candidate_consultation_id,candidate_space_id,candidate_project_name,candidate_display_name,candidate_score
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,0온라인고객,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/0온라인고객,2,2306 클래식C 아카시아+블랙.jpg,,,,,ignored,옛날 사진 상담카드 없음,,,,,
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,1스터디_202601양천구,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/1스터디_202601양천구,30,KakaoTalk_20260105_185748451.jpg,cbe27d19-a419-45f1-8139-8f521d557458,AAQA0vaA0pQ,2603 견적 2512 양천구_흰돌소개 9242 9242,견적 2512 양천구_흰돌소개 9242,matched,사용자 매핑,cbe27d19-a419-45f1-8139-8f521d557458,AAQA0vaA0pQ,견적 2512 양천구_흰돌소개 9242,2603 견적 2512 양천구_흰돌소개 9242 9242,manual
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,1스터디_2503 왕십리 스터디카페 3875,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/1스터디_2503 왕십리 스터디카페 3875,11,KakaoTalk_20250331_164739227_03.jpg,bd3ff363-534e-4151-bb86-1a37f94f01a9,AAAAgWjpMI0,완료 2503 왕십리 스터디카페 3875,완료 2503 왕십리 스터디카페 3875,matched,auto_prefilled_from_candidate_score_88,bd3ff363-534e-4151-bb86-1a37f94f01a9,AAAAgWjpMI0,완료 2503 왕십리 스터디카페 3875,,88
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,20201_서울_대학교_커뮤니티A_성공,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/20201_서울_대학교_커뮤니티A_성공,6,202601_서울_대학교__커뮤니티A-파인드가구1.jpg,0f94db97-c86e-4d3a-9b74-c1d230bc8d91,AAAA6j6nGPY,완료 2407 한양대 에리카 커뮤니티C 8251,완료 2407 한양대 에리카 커뮤니티C 8251,matched,사용자 매핑,0f94db97-c86e-4d3a-9b74-c1d230bc8d91,AAAA6j6nGPY,완료 2407 한양대 에리카 커뮤니티C 8251,,manual
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,202506_아산_학교_스마트F 스퀘어A_ 충남외국어고등학교,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/202506_아산_학교_스마트F 스퀘어A_ 충남외국어고등학교,8,KakaoTalk_20250619_175301491 (1).jpg,2a828f49-a729-45a3-9391-6b8ae5a0fdc5,AAQAInXFVyE,완료 2505 충남 외국어고등학교 0111,완료 2505 충남 외국어고등학교 0111,matched,사용자 매핑,2a828f49-a729-45a3-9391-6b8ae5a0fdc5,AAQAInXFVyE,완료 2505 충남 외국어고등학교 0111,,manual
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,202510_용인_관리형학원__올데이B_성공,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/202510_용인_관리형학원__올데이B_성공,5,KakaoTalk_20251028_132733190.jpg,03c8063e-2238-44c6-b98c-007106f7428a,AAQAFGJ8I9k,완료 2509 용인관리형 7959,완료 2509 용인관리형 7959,matched,사용자 매핑,03c8063e-2238-44c6-b98c-007106f7428a,AAQAFGJ8I9k,완료 2509 용인관리형 7959,,manual
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,202512_일산_관리형스터디카페__올데이B-올데이G_성공,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/202512_일산_관리형스터디카페__올데이B-올데이G_성공,6,KakaoTalk_20251223_162418518.jpg,f7b27068-d8db-46a3-b03d-fb1cc1136250,AAQAbgqYN7U,2603 완료 2510 일산관리형 6984 6984,완료 2510 일산관리형 6984,matched,사용자 매핑,f7b27068-d8db-46a3-b03d-fb1cc1136250,AAQAbgqYN7U,완료 2510 일산관리형 6984,2603 완료 2510 일산관리형 6984 6984,manual
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,202601_동탄_관리형스터디카페__올데이B_성공,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/202601_동탄_관리형스터디카페__올데이B_성공,7,202601_동탄_관리형스터디카페__올데이B-파인드가구1.jpg,3500ff09-6eda-4659-a5c6-aeb42a52a01d,AAQAibnKPxY,완료 2512 동탄관리형 1238,완료 2512 동탄관리형 1238,matched,사용자 매핑,3500ff09-6eda-4659-a5c6-aeb42a52a01d,AAQAibnKPxY,완료 2512 동탄관리형 1238,,manual
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,202601_전주_관리형스터디카페__올데이B_성공,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/202601_전주_관리형스터디카페__올데이B_성공,16,KakaoTalk_20260107_113602418.jpg,504b6c5b-a82b-4765-a625-3f570c1659f9,AAQA8zPZFZ8,2603 견적 2512 전주관리형 8450 8450,견적 2512 전주관리형 8450,matched,사용자 매핑,504b6c5b-a82b-4765-a625-3f570c1659f9,AAQA8zPZFZ8,견적 2512 전주관리형 8450,2603 견적 2512 전주관리형 8450 8450,manual
/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브,2학원_2025 인천계양_클래식F,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2025 인천계양_클래식F,11,KakaoTalk_20250806_164344070.jpg,,,,,ignored,옛날 사진 상담카드 없음,,,,,
