resource,takeout,folder_name,file_count,sample_file,candidate_score,candidate_project_name,candidate_display_name,candidate_space_id,candidate_consultation_id,folder_path
3966,Takeout 2,2학원_2402 파주 3625,2,KakaoTalk_20240219_152758797.jpg,76,완료 2402 파주 3625 (흰돌소개),,AAAACqq9JqY,9e3341da-4e3e-48bf-af5b-e6166c44f8af,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2402 파주 3625
3966,Takeout 2,2학원_2502 서대문학원 0222,6,KakaoTalk_20250205_162106861.jpg,76,완료 2502 서대문학원 0222,,AAAAWXxSWsI,eed70f84-d3d5-4c6e-a7d1-7fedda24e487,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2502 서대문학원 0222
3966,Takeout 2,2학원_2503 평택학원 0917_영상작업,4,KakaoTalk_20250306_133208968.jpg,76,견적 2503 평택학원 0917 / 2차,,AAAABm0L7Kc,3260eba1-ba52-467c-a1cc-52ab99c1f626,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2503 평택학원 0917_영상작업
3966,Takeout 2,2학원_2504 인천 동인수학 8826 커뮤니티B 커뮤니티D_영상작업,3,KakaoTalk_20250410_121159808.jpg,76,완료 2504 인천 동인수학학원 8826,,AAAA6LLgHVU,35238c3c-7695-4c74-bb44-cfb0281a8a3e,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2504 인천 동인수학 8826 커뮤니티B 커뮤니티D_영상작업
3966,Takeout 2,1스터디_2409 여수 스터디카페 70석,23,KakaoTalk_20240909_090936237.jpg,73,완료 2409 여수 스터디카페 70석 7947,,AAAAdzJEk-s,b7738b31-d099-4336-b475-24d92c1da249,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/1스터디_2409 여수 스터디카페 70석
3966,Takeout 2,1스터디_2502 세종 그릿 스터디카페,6,KakaoTalk_20250204_140552153.jpg,73,완료 2502 세종 그릿 스터디카페 3400,,AAAAMvcSRdM,77eb3252-caea-4720-81bf-9873a49c0047,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/1스터디_2502 세종 그릿 스터디카페
3966,Takeout 2,2학원_2309 수원 광교 베이직,2,KakaoTalk_20231010_114620968.jpg,73,완료 2309 수원 광교 베이직 7396,,AAAANkJLUeM,cab617e5-a16a-42f8-a8f9-db6136dbc410,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2309 수원 광교 베이직
3966,Takeout 2,"2학원_2401 안양 에이엠 학원(스마트B,스마트D)",9,KakaoTalk_20240116_145000518.jpg,73,완료 2401 안양 에이엠 학원,,AAAApUNe9Mk,d1b40e13-c67d-499c-8681-b4d4731c06e8,"/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2401 안양 에이엠 학원(스마트B,스마트D)"
3966,Takeout 2,2학원_2404 원주 학원 베이직,3,KakaoTalk_20240424_131951374.jpg,73,완료 2404 원주 학원 베이직,,AAAA1ycTR5E,d331cb64-72cc-4c00-877f-df61bd1ed1e6,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2404 원주 학원 베이직
3966,Takeout 2,2학원_2404 천안 서북구 학원,3,KakaoTalk_20240422_142022142.jpg,73,완료 2404 천안 서북구 학원 / 4차,,AAAAZonsg9o,84fa30a3-6a8c-4a54-82f8-fa5c1516811f,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2404 천안 서북구 학원
3966,Takeout 2,2학원_2404 충남 당진 학원,5,KakaoTalk_20240430_143827116.jpg,73,완료 2404 충남 당진 학원 0519,,AAAAgjXCAW8,f12168b6-c636-48fb-a3ef-c9ee76cd3042,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2404 충남 당진 학원
3966,Takeout 2,2학원_2412 덕양구 화정동 관리형,7,KakaoTalk_20241216_090821532.jpg,73,완료 2412 덕양구 화정동 관리형 8337,,AAAArzDjXak,b1b49aef-284f-4626-a5bf-be98ea7ecc75,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2412 덕양구 화정동 관리형
3966,Takeout 2,2학원_2412 일산 정발산동 학원 7475,10,KakaoTalk_20250102_095053141.jpg,73,"완료 2501 일산 정발산동 학원 7475 / 추가 진행건 210,100 d.c 필요",,AAAAMKS8plA,ddfe624c-c71e-41ed-9355-0dd952601286,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2412 일산 정발산동 학원 7475
3966,Takeout 2,9기타_2403 부천 소사구 영어도서관,2,KakaoTalk_20240403_141308116.jpg,73,추가 2403 부천 소사구 영어도서관 9196,,AAAAJGkVIJs,a9331315-9fdc-4058-b094-957b8722bca7,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/9기타_2403 부천 소사구 영어도서관
3966,Takeout 2,2학원_2401 수원 베이직 9612,5,KakaoTalk_20240103_185804426.jpg,71,완료 2503 수원 학원 베이직 9612 / 3차,2312 완료 2503 수원 학원 베이직 9612 / 3차 9612,AAAAAfGaBz0,5a4ec5d0-95cf-43ff-9c02-b42ef4f078e7,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 2/드라이브/2학원_2401 수원 베이직 9612
3966,Takeout 3,1스터디_2206 부산 더원 프라이버시B 스마트 B 클래식 B,13,20220602_151816.jpg,61,완료 2206 부산 더원(2) 강서구 명지,,AAAAJmewe4o,c5e43b87-780e-447f-b844-72e98e04da00,/Users/findgagu/Desktop/GCS_Data/Resource 3966_구글드라이브 이미지/Takeout 3/드라이브/1스터디_2206 부산 더원 프라이버시B 스마트 B 클래식 B
